epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6575,2.20168,3.62145,2.07624,0.83863,0.30597,0.33043,0.10104,2.6069,4.67046,2.54379,0.0680628,0.000541419,0.000541419
2,23.2531,2.11824,2.23628,2.01316,0.35184,0.24812,0.2474,0.08444,2.53613,110.2,2.69451,0.0352743,0.00108622,0.00108622
3,33.2212,2.10348,2.22934,2.0459,0.04579,0.05603,0.00482,0.00105,3.8402,8.72165,4.78331,0.00247473,0.00162003,0.00162003
4,43.2802,2.04076,2.19307,1.98023,0.2676,0.19605,0.13359,0.04797,2.60021,4.14502,2.62832,0.00161749,0.00161749,0.00161749
5,53.4109,2.0085,2.16141,1.98704,0.36969,0.34701,0.38454,0.19206,2.31062,2.75693,2.43103,0.00160099,0.00160099,0.00160099
6,64.4162,1.99892,2.07526,1.97482,0.41209,0.3099,0.33101,0.13414,2.49816,9.89309,2.90123,0.00158448,0.00158448,0.00158448
7,75.3155,1.93089,2.03459,1.93559,0.92426,0.3806,0.4275,0.16574,2.3002,3.54989,2.43383,0.00156798,0.00156798,0.00156798
8,85.9048,1.90085,1.96983,1.87169,0.40552,0.45044,0.3999,0.18332,2.20275,5.02253,2.33335,0.00155148,0.00155148,0.00155148
9,95.6814,1.84615,1.92828,1.86154,0.44932,0.41059,0.43619,0.16747,2.33022,4.64287,2.28212,0.00153497,0.00153497,0.00153497
10,105.557,1.8756,1.89665,1.84099,0.92262,0.35821,0.4133,0.12176,2.36261,2.56989,2.33149,0.00151847,0.00151847,0.00151847
11,115.439,1.83682,1.90646,1.84739,0.58913,0.4105,0.45388,0.19542,2.34576,2.16376,2.22847,0.00150197,0.00150197,0.00150197
12,125.567,1.83486,1.87038,1.81869,0.41918,0.4514,0.45135,0.19842,2.14818,2.52294,2.12222,0.00148546,0.00148546,0.00148546
13,135.523,1.82282,1.81165,1.81859,0.60325,0.44799,0.51435,0.2416,2.00907,2.11658,1.97207,0.00146896,0.00146896,0.00146896
14,145.462,1.82252,1.82775,1.8363,0.49701,0.47795,0.4855,0.24786,2.08162,1.96479,2.15362,0.00145246,0.00145246,0.00145246
15,155.288,1.75176,1.72587,1.78046,0.41013,0.54534,0.50794,0.2729,2.01633,1.73813,2.11134,0.00143595,0.00143595,0.00143595
16,165.094,1.74301,1.71504,1.76093,0.51817,0.53787,0.52442,0.27477,1.98374,1.80479,2.09096,0.00141945,0.00141945,0.00141945
17,174.84,1.75756,1.73785,1.75812,0.49366,0.53412,0.50732,0.26014,2.06413,1.86687,2.0239,0.00140295,0.00140295,0.00140295
18,184.62,1.7423,1.70533,1.73194,0.60616,0.45741,0.52192,0.25222,2.05962,1.87354,2.03671,0.00138644,0.00138644,0.00138644
19,194.525,1.68362,1.65818,1.70477,0.4909,0.51899,0.50297,0.25057,2.06472,1.86249,2.06701,0.00136994,0.00136994,0.00136994
20,204.487,1.65248,1.68517,1.71366,0.5827,0.50028,0.52113,0.27253,1.99822,1.72356,1.99136,0.00135344,0.00135344,0.00135344
21,214.258,1.66934,1.65272,1.7128,0.61134,0.50786,0.53875,0.26103,2.05031,1.78156,1.97912,0.00133693,0.00133693,0.00133693
22,224.152,1.6679,1.61488,1.70605,0.91346,0.44569,0.49858,0.24712,2.00743,1.76776,2.02841,0.00132043,0.00132043,0.00132043
23,233.939,1.63895,1.60397,1.66514,0.58125,0.53414,0.54341,0.25645,2.0684,1.6324,1.99258,0.00130393,0.00130393,0.00130393
24,243.98,1.67662,1.61444,1.71658,0.66634,0.48153,0.52532,0.22823,2.08028,1.96838,2.1014,0.00128742,0.00128742,0.00128742
25,254.169,1.63038,1.59985,1.69347,0.43527,0.56411,0.53359,0.28621,1.87938,1.66807,1.92998,0.00127092,0.00127092,0.00127092
26,264.399,1.63409,1.57668,1.68885,0.64533,0.50404,0.53926,0.28665,1.91916,1.64173,1.93788,0.00125442,0.00125442,0.00125442
27,274.673,1.62571,1.52053,1.66742,0.70669,0.48171,0.54555,0.30875,1.85219,1.60721,1.91834,0.00123791,0.00123791,0.00123791
28,284.756,1.59113,1.5163,1.64311,0.61945,0.51899,0.54445,0.28297,1.92708,1.63106,1.94412,0.00122141,0.00122141,0.00122141
29,294.56,1.53933,1.45817,1.60768,0.47032,0.58663,0.54913,0.29779,1.90944,1.59648,1.94964,0.00120491,0.00120491,0.00120491
30,304.483,1.57161,1.49683,1.63936,0.59932,0.52872,0.55155,0.27083,2.00563,1.55959,1.95342,0.0011884,0.0011884,0.0011884
31,314.674,1.53801,1.44294,1.61009,0.66542,0.52784,0.57223,0.30631,1.91094,1.64775,1.91993,0.0011719,0.0011719,0.0011719
32,325.14,1.53885,1.48035,1.6099,0.7895,0.51487,0.57404,0.30097,1.86355,1.58532,1.88868,0.0011554,0.0011554,0.0011554
33,335.779,1.57095,1.48659,1.64052,0.68727,0.54534,0.57077,0.33411,1.74814,1.55024,1.84032,0.00113889,0.00113889,0.00113889
34,345.759,1.55268,1.48511,1.6203,0.62985,0.56035,0.56998,0.32783,1.79088,1.4515,1.83764,0.00112239,0.00112239,0.00112239
35,355.464,1.55081,1.45666,1.60957,0.65688,0.57533,0.58825,0.30868,1.87081,1.51658,1.82926,0.00110589,0.00110589,0.00110589
36,365.524,1.52776,1.41728,1.57641,0.63511,0.57157,0.57938,0.29335,1.86485,1.49499,1.87274,0.00108938,0.00108938,0.00108938
37,375.654,1.55862,1.45736,1.62044,0.53554,0.5753,0.56418,0.3252,1.76748,1.4742,1.87015,0.00107288,0.00107288,0.00107288
38,386.148,1.54998,1.44192,1.61194,0.6628,0.5565,0.58085,0.32821,1.77265,1.50341,1.82314,0.00105638,0.00105638,0.00105638
39,396.918,1.52362,1.40833,1.5715,0.58533,0.59066,0.56457,0.29669,1.85756,1.57679,1.84702,0.00103987,0.00103987,0.00103987
40,406.938,1.49978,1.37842,1.57944,0.51705,0.63166,0.58853,0.31881,1.78569,1.45094,1.78963,0.00102337,0.00102337,0.00102337
41,417.07,1.5013,1.42078,1.57913,0.5831,0.60543,0.59698,0.27503,2.04098,1.65909,1.99333,0.00100687,0.00100687,0.00100687
42,428.08,1.49025,1.39516,1.58324,0.61452,0.60162,0.58914,0.30052,1.95602,1.56852,1.91696,0.000990365,0.000990365,0.000990365
43,438.361,1.46274,1.33636,1.53089,0.62526,0.57909,0.59734,0.33856,1.81333,1.43065,1.80081,0.000973861,0.000973861,0.000973861
44,448.468,1.47765,1.33458,1.53058,0.78349,0.55813,0.60725,0.34465,1.76457,1.4555,1.83706,0.000957358,0.000957358,0.000957358
45,458.339,1.46531,1.35894,1.53158,0.59757,0.5989,0.5998,0.33671,1.84532,1.43354,1.84098,0.000940855,0.000940855,0.000940855
